_id,AnnoA,AteneoNOME,AteneoCOD,SESSO,Isc
120,2021/2022,Roma Foro Italico,5806,M,1612
121,2021/2022,Roma La Sapienza,5801,F,62655
122,2021/2022,Roma La Sapienza,5801,M,44687
123,2021/2022,Roma Link Campus,5817,F,149
124,2021/2022,Roma Link Campus,5817,M,365
125,2021/2022,Roma LUISS,5805,F,4857
126,2021/2022,Roma LUISS,5805,M,5141
127,2021/2022,Roma LUMSA,5803,F,5440
128,2021/2022,Roma LUMSA,5803,M,2179
129,2021/2022,Roma Marconi - telematica,5810,F,5622
130,2021/2022,Roma Marconi - telematica,5810,M,4324
131,2021/2022,Roma Saint Camillus,5818,F,1172
132,2021/2022,Roma Saint Camillus,5818,M,701
133,2021/2022,Roma San Raffaele - telematica,5816,F,3987
134,2021/2022,Roma San Raffaele - telematica,5816,M,4153
135,2021/2022,Roma Tor Vergata,5802,F,15172
136,2021/2022,Roma Tor Vergata,5802,M,12697
137,2021/2022,Roma Tre,5807,F,18981
138,2021/2022,Roma Tre,5807,M,12400
139,2021/2022,Roma UNICUSANO - telematica,5815,F,12107
140,2021/2022,Roma UNICUSANO - telematica,5815,M,14033
141,2021/2022,Roma UNINETTUNO - telematica,5813,F,6626
142,2021/2022,Roma UNINETTUNO - telematica,5813,M,8475
143,2021/2022,Roma UNINT,5809,F,1510
144,2021/2022,Roma UNINT,5809,M,326
145,2021/2022,Roma UNITELMA - telematica,5811,F,1477
146,2021/2022,Roma UNITELMA - telematica,5811,M,1289
147,2021/2022,Rozzano (MI) Humanitas University,1510,F,916
148,2021/2022,Rozzano (MI) Humanitas University,1510,M,530
149,2021/2022,Salento,7501,F,11336
150,2021/2022,Salento,7501,M,6764
151,2021/2022,Salerno,6501,F,18415
152,2021/2022,Salerno,6501,M,14917
153,2021/2022,Sannio,6201,F,1901
154,2021/2022,Sannio,6201,M,1931
155,2021/2022,Sassari,9001,F,7955
156,2021/2022,Sassari,9001,M,4752
157,2021/2022,Siena,5201,F,9744
158,2021/2022,Siena,5201,M,5845
159,2021/2022,Siena Stranieri,5202,F,1661
160,2021/2022,Siena Stranieri,5202,M,322
161,2021/2022,Teramo,6701,F,2918
162,2021/2022,Teramo,6701,M,2139
163,2021/2022,Torino,101,F,48162
164,2021/2022,Torino,101,M,29658
165,2021/2022,Torino Politecnico,102,F,9977
166,2021/2022,Torino Politecnico,102,M,23608
167,2021/2022,Torrevecchia Teatina Leonardo da Vinci - telematica,6902,F,45
168,2021/2022,Torrevecchia Teatina Leonardo da Vinci - telematica,6902,M,23
169,2021/2022,Trento,2201,F,8502
170,2021/2022,Trento,2201,M,8032
171,2021/2022,Trieste,3201,F,9287
172,2021/2022,Trieste,3201,M,6892
173,2021/2022,Tuscia,5601,F,3960
174,2021/2022,Tuscia,5601,M,3736
175,2021/2022,Udine,3001,F,7767
176,2021/2022,Udine,3001,M,6802
177,2021/2022,Urbino,4101,F,9531
178,2021/2022,Urbino,4101,M,5190
179,2021/2022,Venezia C Foscari,2701,F,13089
180,2021/2022,Venezia C Foscari,2701,M,7553
181,2021/2022,Venezia Iuav,2702,F,2465
182,2021/2022,Venezia Iuav,2702,M,1735
183,2021/2022,Verona,2301,F,15581
184,2021/2022,Verona,2301,M,8356
185,2020/2021,Aosta,701,F,718
186,2020/2021,Aosta,701,M,320
187,2020/2021,Bari,7201,F,26354
188,2020/2021,Bari,7201,M,15771
189,2020/2021,Bari Politecnico,7202,F,2997
190,2020/2021,Bari Politecnico,7202,M,6944
191,2020/2021,Basilicata,7601,F,3541
192,2020/2021,Basilicata,7601,M,2546
193,2020/2021,Benevento Giustino Fortunato - telematica,6202,F,946
194,2020/2021,Benevento Giustino Fortunato - telematica,6202,M,860
195,2020/2021,Bergamo,1601,F,13113
196,2020/2021,Bergamo,1601,M,7762
197,2020/2021,Bologna,3701,F,45857
198,2020/2021,Bologna,3701,M,35924
199,2020/2021,Bolzano,2101,F,2817
200,2020/2021,Bolzano,2101,M,1242
201,2020/2021,Bra Scienze Gastronomiche,401,F,197
202,2020/2021,Bra Scienze Gastronomiche,401,M,194
203,2020/2021,Brescia,1701,F,6820
204,2020/2021,Brescia,1701,M,7911
205,2020/2021,Cagliari,9201,F,14630
206,2020/2021,Cagliari,9201,M,10104
207,2020/2021,Calabria,7801,F,14051
208,2020/2021,Calabria,7801,M,10111
209,2020/2021,Camerino,4302,F,3088
210,2020/2021,Camerino,4302,M,3433
211,2020/2021,Casamassima - G.Degennaro,7203,F,639
212,2020/2021,Casamassima - G.Degennaro,7203,M,931
213,2020/2021,Cassino,6001,F,3777
214,2020/2021,Cassino,6001,M,3267
215,2020/2021,Castellanza LIUC,1201,F,966
216,2020/2021,Castellanza LIUC,1201,M,1797
217,2020/2021,Catania,8701,F,22069
218,2020/2021,Catania,8701,M,16118
219,2020/2021,Catanzaro,7901,F,6655
220,2020/2021,Catanzaro,7901,M,4144
221,2020/2021,Chieti e Pescara,6901,F,14656
222,2020/2021,Chieti e Pescara,6901,M,7958
223,2020/2021,Enna KORE,8601,F,3284
224,2020/2021,Enna KORE,8601,M,1547
225,2020/2021,Ferrara,3801,F,15023
226,2020/2021,Ferrara,3801,M,10153
227,2020/2021,Firenze,4801,F,30956
228,2020/2021,Firenze,4801,M,22518
229,2020/2021,Firenze IUL - telematica,4804,F,529
230,2020/2021,Firenze IUL - telematica,4804,M,225
231,2020/2021,Foggia,7101,F,7170
232,2020/2021,Foggia,7101,M,4206
233,2020/2021,Genova,1001,F,18055
234,2020/2021,Genova,1001,M,14160
235,2020/2021,Insubria,1202,F,6381
236,2020/2021,Insubria,1202,M,5344
237,2020/2021,L'Aquila,6601,F,8710
238,2020/2021,L'Aquila,6601,M,7203
239,2020/2021,Macerata,4301,F,7436
240,2020/2021,Macerata,4301,M,2607
241,2020/2021,Marche,4201,F,6720
242,2020/2021,Marche,4201,M,8141
243,2020/2021,Messina,8301,F,14671
244,2020/2021,Messina,8301,M,8902
245,2020/2021,Milano,1501,F,36431
246,2020/2021,Milano,1501,M,24810
247,2020/2021,Milano Bicocca,1509,F,21182
248,2020/2021,Milano Bicocca,1509,M,13210
249,2020/2021,Milano Bocconi,1503,F,5651
250,2020/2021,Milano Bocconi,1503,M,8035
251,2020/2021,Milano Cattolica,1504,F,27869
252,2020/2021,Milano Cattolica,1504,M,13841
253,2020/2021,Milano IULM,1505,F,5204
254,2020/2021,Milano IULM,1505,M,1873
255,2020/2021,Milano Politecnico,1502,F,15872
256,2020/2021,Milano Politecnico,1502,M,30541
257,2020/2021,Milano San Raffaele,1508,F,2117
258,2020/2021,Milano San Raffaele,1508,M,1193
259,2020/2021,Modena e Reggio Emilia,3601,F,14579
260,2020/2021,Modena e Reggio Emilia,3601,M,12883
261,2020/2021,Molise,7001,F,3984
262,2020/2021,Molise,7001,M,2662
263,2020/2021,Napoli Benincasa,6304,F,7230
264,2020/2021,Napoli Benincasa,6304,M,1283
265,2020/2021,Napoli Federico II,6301,F,41919
266,2020/2021,Napoli Federico II,6301,M,33432
267,2020/2021,Napoli L'Orientale,6303,F,9115
268,2020/2021,Napoli L'Orientale,6303,M,2275
269,2020/2021,Napoli Parthenope,6302,F,4674
270,2020/2021,Napoli Parthenope,6302,M,6359
271,2020/2021,Napoli Pegaso - telematica,6307,F,30978
272,2020/2021,Napoli Pegaso - telematica,6307,M,35211
273,2020/2021,Napoli Vanvitelli,6306,F,13297
274,2020/2021,Napoli Vanvitelli,6306,M,9031
275,2020/2021,Novedrate e-Campus - telematica,1301,F,17291
276,2020/2021,Novedrate e-Campus - telematica,1301,M,14855
277,2020/2021,Padova,2801,F,33438
278,2020/2021,Padova,2801,M,29439
279,2020/2021,Palermo,8201,F,24308
280,2020/2021,Palermo,8201,M,17350
281,2020/2021,Parma,3401,F,16418
282,2020/2021,Parma,3401,M,11709
283,2020/2021,Pavia,1801,F,13332
284,2020/2021,Pavia,1801,M,10397
285,2020/2021,Perugia,5401,F,15528
286,2020/2021,Perugia,5401,M,10666
287,2020/2021,Perugia Stranieri,5403,F,776
288,2020/2021,Perugia Stranieri,5403,M,374
289,2020/2021,Piemonte Orientale,201,F,8252
290,2020/2021,Piemonte Orientale,201,M,5438
291,2020/2021,Pisa,5001,F,23138
292,2020/2021,Pisa,5001,M,21509
293,2020/2021,Reggio Calabria,8001,F,2714
294,2020/2021,Reggio Calabria,8001,M,2139
295,2020/2021,Reggio Calabria - Dante Alighieri,8003,F,501
296,2020/2021,Reggio Calabria - Dante Alighieri,8003,M,99
297,2020/2021,Roma  Mercatorum - telematica,5814,F,7579
298,2020/2021,Roma  Mercatorum - telematica,5814,M,10795
299,2020/2021,Roma Biomedico,5808,F,1361
300,2020/2021,Roma Biomedico,5808,M,866
301,2020/2021,Roma Europea,5812,F,1258
302,2020/2021,Roma Europea,5812,M,470
303,2020/2021,Roma Foro Italico,5806,F,612
304,2020/2021,Roma Foro Italico,5806,M,1547
305,2020/2021,Roma La Sapienza,5801,F,60421
306,2020/2021,Roma La Sapienza,5801,M,43782
307,2020/2021,Roma Link Campus,5817,F,182
308,2020/2021,Roma Link Campus,5817,M,478
309,2020/2021,Roma LUISS,5805,F,4547
310,2020/2021,Roma LUISS,5805,M,5166
311,2020/2021,Roma LUMSA,5803,F,4770
312,2020/2021,Roma LUMSA,5803,M,1991
313,2020/2021,Roma Marconi - telematica,5810,F,6009
314,2020/2021,Roma Marconi - telematica,5810,M,5200
315,2020/2021,Roma Saint Camillus,5818,F,706
316,2020/2021,Roma Saint Camillus,5818,M,416
317,2020/2021,Roma San Raffaele - telematica,5816,F,3720
318,2020/2021,Roma San Raffaele - telematica,5816,M,4240
319,2020/2021,Roma Tor Vergata,5802,F,14820
320,2020/2021,Roma Tor Vergata,5802,M,12698
321,2020/2021,Roma Tre,5807,F,19117
322,2020/2021,Roma Tre,5807,M,12704
323,2020/2021,Roma UNICUSANO - telematica,5815,F,11548
324,2020/2021,Roma UNICUSANO - telematica,5815,M,14760
325,2020/2021,Roma UNINETTUNO - telematica,5813,F,7282
326,2020/2021,Roma UNINETTUNO - telematica,5813,M,9964
327,2020/2021,Roma UNINT,5809,F,1540
328,2020/2021,Roma UNINT,5809,M,371
329,2020/2021,Roma UNITELMA - telematica,5811,F,1449
330,2020/2021,Roma UNITELMA - telematica,5811,M,1415
331,2020/2021,Rozzano (MI) Humanitas University,1510,F,903
332,2020/2021,Rozzano (MI) Humanitas University,1510,M,530
333,2020/2021,Salento,7501,F,11305
334,2020/2021,Salento,7501,M,6993
335,2020/2021,Salerno,6501,F,19261
336,2020/2021,Salerno,6501,M,15450
337,2020/2021,Sannio,6201,F,2072
338,2020/2021,Sannio,6201,M,2003
339,2020/2021,Sassari,9001,F,8457
340,2020/2021,Sassari,9001,M,5010
341,2020/2021,Siena,5201,F,9754
342,2020/2021,Siena,5201,M,6144
343,2020/2021,Siena Stranieri,5202,F,1845
344,2020/2021,Siena Stranieri,5202,M,388
345,2020/2021,Teramo,6701,F,3147
346,2020/2021,Teramo,6701,M,2392
347,2020/2021,Torino,101,F,47689
348,2020/2021,Torino,101,M,29850
349,2020/2021,Torino Politecnico,102,F,9692
350,2020/2021,Torino Politecnico,102,M,23454
351,2020/2021,Torrevecchia Teatina Leonardo da Vinci - telematica,6902,F,28
352,2020/2021,Torrevecchia Teatina Leonardo da Vinci - telematica,6902,M,17
353,2020/2021,Trento,2201,F,8471
354,2020/2021,Trento,2201,M,8129
355,2020/2021,Trieste,3201,F,9036
356,2020/2021,Trieste,3201,M,6759
357,2020/2021,Tuscia,5601,F,4040
358,2020/2021,Tuscia,5601,M,3848
359,2020/2021,Udine,3001,F,7928
360,2020/2021,Udine,3001,M,7026
361,2020/2021,Urbino,4101,F,9390
362,2020/2021,Urbino,4101,M,5425
363,2020/2021,Venezia C Foscari,2701,F,13251
364,2020/2021,Venezia C Foscari,2701,M,7556
365,2020/2021,Venezia Iuav,2702,F,2229
366,2020/2021,Venezia Iuav,2702,M,1732
367,2020/2021,Verona,2301,F,15011
368,2020/2021,Verona,2301,M,8266
369,2019/2020,Aosta,701,F,701
370,2019/2020,Aosta,701,M,317
371,2019/2020,Bari,7201,F,26523
372,2019/2020,Bari,7201,M,15751
373,2019/2020,Bari Politecnico,7202,F,3049
374,2019/2020,Bari Politecnico,7202,M,6821
375,2019/2020,Basilicata,7601,F,3596
376,2019/2020,Basilicata,7601,M,2684
377,2019/2020,Benevento Giustino Fortunato - telematica,6202,F,624
378,2019/2020,Benevento Giustino Fortunato - telematica,6202,M,646
379,2019/2020,Bergamo,1601,F,13227
380,2019/2020,Bergamo,1601,M,7881
381,2019/2020,Bologna,3701,F,44570
382,2019/2020,Bologna,3701,M,35473
383,2019/2020,Bolzano,2101,F,2737
384,2019/2020,Bolzano,2101,M,1218
385,2019/2020,Bra Scienze Gastronomiche,401,F,180
386,2019/2020,Bra Scienze Gastronomiche,401,M,192
387,2019/2020,Brescia,1701,F,6588
388,2019/2020,Brescia,1701,M,7829
389,2019/2020,Cagliari,9201,F,14724
390,2019/2020,Cagliari,9201,M,10465
391,2019/2020,Calabria,7801,F,14219
392,2019/2020,Calabria,7801,M,10232
393,2019/2020,Camerino,4302,F,3110
394,2019/2020,Camerino,4302,M,3224
395,2019/2020,Casamassima - G.Degennaro,7203,F,654
396,2019/2020,Casamassima - G.Degennaro,7203,M,942
397,2019/2020,Cassino,6001,F,3790
398,2019/2020,Cassino,6001,M,3273
399,2019/2020,Castellanza LIUC,1201,F,877
400,2019/2020,Castellanza LIUC,1201,M,1611
401,2019/2020,Catania,8701,F,21687
402,2019/2020,Catania,8701,M,16340
403,2019/2020,Catanzaro,7901,F,6712
404,2019/2020,Catanzaro,7901,M,4210
405,2019/2020,Chieti e Pescara,6901,F,14740
406,2019/2020,Chieti e Pescara,6901,M,8134
407,2019/2020,Enna KORE,8601,F,3162
408,2019/2020,Enna KORE,8601,M,1600
409,2019/2020,Ferrara,3801,F,13452
410,2019/2020,Ferrara,3801,M,9303
411,2019/2020,Firenze,4801,F,29908
412,2019/2020,Firenze,4801,M,22108
413,2019/2020,Firenze IUL - telematica,4804,F,287
414,2019/2020,Firenze IUL - telematica,4804,M,106
415,2019/2020,Foggia,7101,F,6540
416,2019/2020,Foggia,7101,M,3916
417,2019/2020,Genova,1001,F,16972
418,2019/2020,Genova,1001,M,13579
419,2019/2020,Insubria,1202,F,6138
420,2019/2020,Insubria,1202,M,5251
421,2019/2020,L'Aquila,6601,F,8659
422,2019/2020,L'Aquila,6601,M,7073
423,2019/2020,Macerata,4301,F,7351
424,2019/2020,Macerata,4301,M,2620
425,2019/2020,Marche,4201,F,6731
426,2019/2020,Marche,4201,M,8244
427,2019/2020,Messina,8301,F,14237
428,2019/2020,Messina,8301,M,8339
429,2019/2020,Milano,1501,F,35980
430,2019/2020,Milano,1501,M,25187
431,2019/2020,Milano Bicocca,1509,F,20383
432,2019/2020,Milano Bicocca,1509,M,13199
433,2019/2020,Milano Bocconi,1503,F,5629
434,2019/2020,Milano Bocconi,1503,M,7950
435,2019/2020,Milano Cattolica,1504,F,27339
436,2019/2020,Milano Cattolica,1504,M,13923
437,2019/2020,Milano IULM,1505,F,4912
438,2019/2020,Milano IULM,1505,M,1873
439,2019/2020,Milano Politecnico,1502,F,15310
440,2019/2020,Milano Politecnico,1502,M,30158
441,2019/2020,Milano San Raffaele,1508,F,1837
442,2019/2020,Milano San Raffaele,1508,M,1125
443,2019/2020,Modena e Reggio Emilia,3601,F,14110
444,2019/2020,Modena e Reggio Emilia,3601,M,12565
445,2019/2020,Molise,7001,F,3900
446,2019/2020,Molise,7001,M,2806
447,2019/2020,Napoli Benincasa,6304,F,7175
448,2019/2020,Napoli Benincasa,6304,M,1251
449,2019/2020,Napoli Federico II,6301,F,40988
450,2019/2020,Napoli Federico II,6301,M,33301
451,2019/2020,Napoli L'Orientale,6303,F,9254
452,2019/2020,Napoli L'Orientale,6303,M,2335
453,2019/2020,Napoli Parthenope,6302,F,4655
454,2019/2020,Napoli Parthenope,6302,M,6134
455,2019/2020,Napoli Pegaso - telematica,6307,F,21780
456,2019/2020,Napoli Pegaso - telematica,6307,M,27756
457,2019/2020,Napoli Vanvitelli,6306,F,13387
458,2019/2020,Napoli Vanvitelli,6306,M,9393
459,2019/2020,Novedrate e-Campus - telematica,1301,F,11486
460,2019/2020,Novedrate e-Campus - telematica,1301,M,10469
461,2019/2020,Padova,2801,F,31719
462,2019/2020,Padova,2801,M,28267
463,2019/2020,Palermo,8201,F,23698
464,2019/2020,Palermo,8201,M,16993
465,2019/2020,Parma,3401,F,15406
466,2019/2020,Parma,3401,M,11294
467,2019/2020,Pavia,1801,F,13000
468,2019/2020,Pavia,1801,M,10321
469,2019/2020,Perugia,5401,F,13587
470,2019/2020,Perugia,5401,M,9916
471,2019/2020,Perugia Stranieri,5403,F,714
472,2019/2020,Perugia Stranieri,5403,M,380
473,2019/2020,Piemonte Orientale,201,F,7951
474,2019/2020,Piemonte Orientale,201,M,5179
475,2019/2020,Pisa,5001,F,22739
476,2019/2020,Pisa,5001,M,21557
477,2019/2020,Reggio Calabria,8001,F,2535
478,2019/2020,Reggio Calabria,8001,M,2329
479,2019/2020,Reggio Calabria - Dante Alighieri,8003,F,563
480,2019/2020,Reggio Calabria - Dante Alighieri,8003,M,127
481,2019/2020,Roma  Mercatorum - telematica,5814,F,2300
482,2019/2020,Roma  Mercatorum - telematica,5814,M,3833
483,2019/2020,Roma Biomedico,5808,F,1232
484,2019/2020,Roma Biomedico,5808,M,786
485,2019/2020,Roma Europea,5812,F,1074
486,2019/2020,Roma Europea,5812,M,420
487,2019/2020,Roma Foro Italico,5806,F,567
488,2019/2020,Roma Foro Italico,5806,M,1519
489,2019/2020,Roma La Sapienza,5801,F,59569
490,2019/2020,Roma La Sapienza,5801,M,44089
491,2019/2020,Roma Link Campus,5817,F,270
492,2019/2020,Roma Link Campus,5817,M,643
493,2019/2020,Roma LUISS,5805,F,4313
494,2019/2020,Roma LUISS,5805,M,5156
495,2019/2020,Roma LUMSA,5803,F,4247
496,2019/2020,Roma LUMSA,5803,M,1892
497,2019/2020,Roma Marconi - telematica,5810,F,5261
498,2019/2020,Roma Marconi - telematica,5810,M,5001
499,2019/2020,Roma Saint Camillus,5818,F,363
500,2019/2020,Roma Saint Camillus,5818,M,195
501,2019/2020,Roma San Raffaele - telematica,5816,F,2933
502,2019/2020,Roma San Raffaele - telematica,5816,M,3775
503,2019/2020,Roma Tor Vergata,5802,F,14285
504,2019/2020,Roma Tor Vergata,5802,M,12567
505,2019/2020,Roma Tre,5807,F,18337
506,2019/2020,Roma Tre,5807,M,12508
507,2019/2020,Roma UNICUSANO - telematica,5815,F,11260
508,2019/2020,Roma UNICUSANO - telematica,5815,M,15336
509,2019/2020,Roma UNINETTUNO - telematica,5813,F,6222
510,2019/2020,Roma UNINETTUNO - telematica,5813,M,9132
511,2019/2020,Roma UNINT,5809,F,1417
512,2019/2020,Roma UNINT,5809,M,351
513,2019/2020,Roma UNITELMA - telematica,5811,F,1108
514,2019/2020,Roma UNITELMA - telematica,5811,M,1135
515,2019/2020,Rozzano (MI) Humanitas University,1510,F,757
516,2019/2020,Rozzano (MI) Humanitas University,1510,M,424
517,2019/2020,Salento,7501,F,10790
518,2019/2020,Salento,7501,M,6655
519,2019/2020,Salerno,6501,F,19496
520,2019/2020,Salerno,6501,M,15646
521,2019/2020,Sannio,6201,F,2227
522,2019/2020,Sannio,6201,M,2075
523,2019/2020,Sassari,9001,F,8385
524,2019/2020,Sassari,9001,M,4924
525,2019/2020,Siena,5201,F,9340
526,2019/2020,Siena,5201,M,6096
527,2019/2020,Siena Stranieri,5202,F,1804
528,2019/2020,Siena Stranieri,5202,M,370
529,2019/2020,Teramo,6701,F,3137
530,2019/2020,Teramo,6701,M,2358
531,2019/2020,Torino,101,F,45905
532,2019/2020,Torino,101,M,29094
533,2019/2020,Torino Politecnico,102,F,9482
534,2019/2020,Torino Politecnico,102,M,23561
535,2019/2020,Torrevecchia Teatina Leonardo da Vinci - telematica,6902,F,37
536,2019/2020,Torrevecchia Teatina Leonardo da Vinci - telematica,6902,M,22
537,2019/2020,Trento,2201,F,8553
538,2019/2020,Trento,2201,M,8227
539,2019/2020,Trieste,3201,F,8879
540,2019/2020,Trieste,3201,M,6629
541,2019/2020,Tuscia,5601,F,4059
542,2019/2020,Tuscia,5601,M,3865
543,2019/2020,Udine,3001,F,7727
544,2019/2020,Udine,3001,M,7121
545,2019/2020,Urbino,4101,F,9052
546,2019/2020,Urbino,4101,M,5471
547,2019/2020,Venezia C Foscari,2701,F,13514
548,2019/2020,Venezia C Foscari,2701,M,7563
549,2019/2020,Venezia Iuav,2702,F,2122
550,2019/2020,Venezia Iuav,2702,M,1695
551,2019/2020,Verona,2301,F,14470
552,2019/2020,Verona,2301,M,7944
553,2018/2019,Aosta,701,F,708
554,2018/2019,Aosta,701,M,315
555,2018/2019,Bari,7201,F,26766
556,2018/2019,Bari,7201,M,15988
557,2018/2019,Bari Politecnico,7202,F,3009
558,2018/2019,Bari Politecnico,7202,M,6812
559,2018/2019,Basilicata,7601,F,3712
560,2018/2019,Basilicata,7601,M,2706
561,2018/2019,Benevento Giustino Fortunato - telematica,6202,F,393
562,2018/2019,Benevento Giustino Fortunato - telematica,6202,M,551
563,2018/2019,Bergamo,1601,F,12042
564,2018/2019,Bergamo,1601,M,7409
565,2018/2019,Bologna,3701,F,44746
566,2018/2019,Bologna,3701,M,35394
567,2018/2019,Bolzano,2101,F,2559
568,2018/2019,Bolzano,2101,M,1198
569,2018/2019,Bra Scienze Gastronomiche,401,F,169
570,2018/2019,Bra Scienze Gastronomiche,401,M,192
571,2018/2019,Brescia,1701,F,6374
572,2018/2019,Brescia,1701,M,7592
573,2018/2019,Cagliari,9201,F,14579
574,2018/2019,Cagliari,9201,M,10278
575,2018/2019,Calabria,7801,F,14621
576,2018/2019,Calabria,7801,M,10689
577,2018/2019,Camerino,4302,F,3400
578,2018/2019,Camerino,4302,M,3432
579,2018/2019,Casamassima - G.Degennaro,7203,F,599
